Name,M,T,SV,W,LD,OC,ISV
CUSTODIAN GUARD,6,6,2,3,6,2,4
CUSTODIAN WARDENS,6,6,2,3,6,2,4
ALLARUS CUSTODIANS,5,7,2,4,6,2,4
VERTUS PRAETORS,12,6,2,4,6,2,4
PROSECUTORS,6,3,3,1,6,2,NaN
VIGILATORS,6,3,3,1,6,1,NaN
WITCHSEEKERS,6,3,3,1,6,1,NaN
SHIELD-CAPTAIN,6,6,2,6,6,2,4
BLADE CHAMPION,6,6,2,6,6,2,4
ALEYA,6,3,3,4,6,1,5
ANATHEMA PSYKANA RHINO,12,9,3,10,6,2,NaN
KNIGHT-CENTURA,6,3,3,4,6,1,5
SHIELD-CAPTAIN IN ALLARUS TERMINATOR ARMOUR,5,7,2,7,6,2,4
SHIELD-CAPTAIN ON DAWNEAGLE JETBIKE,12,6,2,7,6,2,4
TRAJANN VALORIS,6,6,2,7,5,2,4
VALERIAN,6,6,2,6,6,2,4
VENERABLE CONTEMPTOR DREADNOUGHT,6,9,2,10,6,3,5
VENERABLE LAND RAIDER,10,12,2,16,6,5,NaN
