Name,M,T,SV,W,LD,OC,ISV
ASURMEN,7,3,2,5,6,1,3
AUTARCH,7,3,3,4,6,1,4
AUTARCH WAYLEAPER,14,3,3,4,6,1,4
AUTARCH SKYRUNNER,14,4,3,5,6,2,4
AVATAR OF KHAINE,10,12,2,14,6,5,4
BAHARROTH,14,3,2,5,6,1,4
CORSAIR VOIDREAVERS,7,3,4,1,6,2,NaN
CORSAIR VOIDSCARRED,7,3,4,1,6,1,NaN
DEATH JESTER,8,3,6,4,6,1,4
ELDRAD ULTHRAN,7,4,6,5,6,1,4
FALCON,14,9,3,12,6,3,NaN
FARSEER,7,3,6,4,6,1,4
FARSEER SKYRUNNER,14,4,3,5,6,2,4
FIRE PRISM,14,9,3,12,6,3,NaN
FUEGAN,7,3,2,5,6,1,4
ILLIC NIGHTSPEAR,7,3,5,3,6,1,5
JAIN ZAR,8,3,2,5,6,1,4
KARANDRAS,7,3,2,5,6,1,4
MAUGAN RA,7,3,2,5,6,1,4
NIGHT SPINNER,14,9,3,12,6,3,NaN
PRINCE YRIEL,7,3,3,4,6,1,4
RANGERS,7,3,5,1,6,1,5
SHADOWSEER,8,3,6,4,6,1,4
SHROUD RUNNERS,14,4,4,3,6,2,5
SK Y WEAVERS,14,4,4,3,6,2,4
SOLITAIRE,12,3,6,3,6,1,3
SPIRITSEER,7,3,6,3,6,1,4
STARWEAVER,14,6,4,6,6,1,4
SUPPORT WEAPONS,3,6,4,5,6,1,NaN
THE VISARCH,8,3,2,5,6,1,4
THE YNCARNE,10,10,2,12,6,3,4
TROUPE,8,3,6,1,6,1,4
TROUPE MASTER,8,3,6,4,6,1,4
VOIDWEAVER,14,6,4,6,6,2,4
VYPERS,14,6,3,6,6,2,NaN
WAR WALKERS,10,7,3,6,6,2,4
WARLOCK SKYRUNNER,14,4,3,3,6,2,4
WARLOCK,7,3,6,2,6,1,4
WAVE SERPENT,14,9,3,13,6,2,5
WEBWAY GATE,0,12,3,14,6,0,NaN
WINDRIDERS,14,4,3,2,6,2,NaN
WRAITHBLADES,6,7,2,3,6,1,NaN
WRAITHGUARD,6,7,2,3,6,1,NaN
WRAITHKNIGHT,10,12,2,18,6,10,NaN
WRAITHLORD,8,11,2,10,6,3,NaN
YVRAINE,8,3,6,4,6,1,4
WARLOCK SKYRUNNER CONCLAVE,14,4,3,3,6,2,4
WARLOCK CONCLAVE,7,3,6,2,6,1,4
