Name,M,T,SV,W,LD,OC,ISV
EVERSOR ASSASSIN,9,4,6,4,6,1,4
CALLIDUS ASSASSIN,7,4,6,4,6,1,4
VOIDSMEN-AT-ARMS,6,3,4,1,8,2,NaN
IMPERIAL NAVY BREACHERS,6,3,4,1,8,2,NaN
SUBDUCTOR SQUAD,6,3,3,1,7,1,4
EXACTION SQUAD,6,3,4,1,7,1,NaN
VIGILANT SQUAD,6,3,4,1,7,2,NaN
LORD INQUISITOR KYRIA DRAXUS,6,3,3,4,6,1,5
INQUISITOR COTEAZ,6,3,2,4,6,1,5
INQUISITOR GREYFAX,6,3,3,4,4,1,5
INQUISITOR KARAMAZOV,5,8,3,9,6,3,4
INQUISITOR,6,3,4,4,6,1,5
INQUISITOR EISENHORN,6,3,4,4,6,1,5
INQUISITORIAL HENCHMEN,6,3,5,2,7,1,NaN
