Name,M,T,SV,W,LD,OC,ISV
LORD SOLAR LEONTU,12,4,3,8,6,2,4
URSULA CREE,6,3,4,4,7,1,5
CADIAN CASTELLA,6,3,5,4,7,1,5
TANK COMMANDE,10,11,2,13,7,3,NaN
PLATOON COMMAND SQUA,6,3,5,3,7,1,NaN
CADIAN COMMAND SQUA,6,3,5,3,7,1,NaN
‘IRON HAND’ STRAKE,6,3,3,4,7,1,4
PRIMARIS PSYKE,6,3,5,3,7,1,NaN
GAUNT’S GHOST,6,3,4,3,6,1,5
REGIMENTAL ATTACHÉ,6,3,5,1,7,1,NaN
OGRYN BODYGUAR,6,6,5,6,7,1,NaN
NORK DEDDO,6,6,4,6,7,1,NaN
INFANTRY SQUA,6,3,5,1,7,2,NaN
CADIAN SHOCK TROOP,6,3,5,1,7,2,NaN
DEATH KORPS OF KRIE,6,3,5,1,7,2,NaN
CATACHAN JUNGLE FIGHTER,6,3,5,1,7,2,NaN
SLY MARB,6,3,5,4,7,1,NaN
KASRKI,6,3,4,1,7,1,NaN
REGIMENTAL PREACHE,6,3,6,3,7,1,4
SERGEANT HARKE,6,4,5,3,7,1,NaN
REGIMENTAL ENGINSEE,6,4,3,3,7,1,5
MUNITORUM SERVITOR,6,3,4,1,8,0,6
COMMISSA,6,3,5,3,6,1,5
OGRYN SQUA,6,6,5,3,7,1,NaN
BULLGRYN SQUA,6,6,4,3,7,1,NaN
RATLING SNIPER,6,2,6,1,8,1,NaN
ATTILAN ROUGH RIDER,12,4,4,2,7,1,NaN
SCOUT SENTINEL,10,7,3,7,7,2,NaN
ARMOURED SENTINEL,8,8,2,7,7,2,NaN
HELLHOUND,10,10,2,11,7,3,NaN
ROGAL DORN BATTLE TANK,10,12,2,18,7,5,NaN
HEAVY WEAPONS SQUAD,6,3,5,2,7,2,NaN
FIELD ORDNANCE BATTERY,4,5,4,6,7,2,NaN
LEMAN RUSS BATTLE TANK,10,11,2,13,7,3,NaN
LEMAN RUSS DEMOLISHER,10,11,2,13,7,3,NaN
LEMAN RUSS VANQUISHER,10,11,2,13,7,3,NaN
LEMAN RUSS PUNISHER,10,11,2,13,7,3,NaN
LEMAN RUSS EXECUTIONER,10,11,2,13,7,3,NaN
LEMAN RUSS EXTERMINATOR,10,11,2,13,7,3,NaN
LEMAN RUSS ERADICATOR,10,11,2,13,7,3,NaN
BASILISK,10,9,3,11,7,3,NaN
HYDRA,10,9,3,11,7,3,NaN
MANTICORE,10,10,3,11,7,3,NaN
WYVERN,10,9,3,11,7,3,NaN
DEATHSTRIKE,10,10,3,11,7,3,NaN
CHIMERA,10,9,3,11,7,2,NaN
TAUROX,12,8,3,10,7,2,NaN
AEGIS DEFENCE LINE,0,12,2,10,7,0,NaN
BANEBLADE,9,13,2,24,7,8,NaN
BANEHAMMER,9,13,2,24,7,8,NaN
BANESWORD,9,13,2,24,7,8,NaN
DOOMHAMMER,9,13,2,24,7,8,NaN
HELLHAMMER,9,13,2,24,7,8,NaN
SHADOWSWORD,9,13,2,24,7,8,NaN
STORMLORD,9,13,2,24,7,8,NaN
STORMSWORD,9,13,2,24,7,8,NaN
MILITARUM TEMPESTUS COMMAND SQUAD,6,3,4,1,7,1,NaN
TEMPESTUS SCION,6,3,4,1,7,1,NaN
TAUROX PRIME,12,8,3,10,7,2,NaN
