Name,M,T,SV,W,LD,OC,ISV
SKARBRAND,8,11,4,20,6,5,4
BLOODTHIRSTER,12,11,4,18,6,5,4
SKULLTAKER,6,4,4,5,7,1,4
BLOODMASTER,6,4,5,4,7,1,4
SKULLMASTER,10,7,4,6,7,2,4
RENDMASTER ON BLOOD THRONE,8,9,4,9,7,3,4
KARANAK,12,4,7,5,7,1,4
BLOODLETTERS,6,4,7,1,7,2,5
BLOODCRUSHERS,10,7,4,4,7,2,4
FLESH HOUNDS,12,4,7,2,7,1,5
SKULL CANNON,8,9,4,9,7,3,4
SKULL ALTAR,0,12,3,10,7,0,NaN
KAIROS FATEWEAVER,12,10,6,20,6,5,4
LORD OF CHANGE,12,10,6,18,6,5,4
THE CHANGELING,6,3,7,5,7,1,4
FATESKIMMER,12,7,6,9,7,3,4
FLUXMASTER,12,4,6,4,7,1,4
THE BLUE SCRIBES,12,4,6,6,8,2,4
CHANGECASTER,6,3,6,3,7,1,4
BLUE HORRORS,6,3,8,1,8,1,4
PINK HORRORS,6,3,7,1,7,2,4
FLAMERS,9,4,7,3,7,1,4
EXALTED FLAMER,9,4,7,6,7,1,4
SCREAMERS,14,4,6,3,7,1,4
BURNING CHARIOT,12,8,7,9,7,3,4
ROTIGUS,7,12,5,22,6,5,4
GREAT UNCLEAN ONE,7,12,5,20,6,5,4
POXBRINGER,5,5,7,5,7,1,5
SPOILPOX SCRIVENER,5,5,7,5,6,1,5
EPIDEMIUS,5,5,6,8,7,2,5
SLOPPITY BILEPIPER,5,5,7,5,7,1,5
HORTICULOUS SLIMUX,6,10,3,10,7,2,4
PLAGUEBEARERS,5,5,7,2,7,2,5
NURGLINGS,5,3,7,4,8,0,6
BEASTS OF NURGLE,6,9,6,7,7,2,5
PLAGUE DRONES,10,8,6,5,7,2,5
FECULENT GNARLMAW,0,9,4,9,7,0,NaN
SHALAXI HELBANE,14,10,5,20,6,5,4
KEEPER OF SECRETS,14,10,5,18,6,5,4
INFERNAL ENRAPTURESS,9,3,7,3,7,1,5
THE MASQUE OF SLAANESH,9,3,7,4,7,1,4
SYLL’ESSKE,9,6,6,9,6,2,4
CONTORTED EPITOME,9,6,5,8,7,2,4
TORMENTBRINGER ON EXALTED SEEKER CHARIOT,14,6,5,12,7,3,4
TRANCEWEAVER,9,3,7,3,7,1,5
DAEMONETTES,9,3,7,1,7,2,5
FIENDS,12,5,7,4,7,2,5
SEEKERS,14,4,7,2,7,1,5
HELLFLAYER,14,6,5,7,7,3,4
SEEKER CHARIOT,14,6,5,7,7,3,4
EXALTED SEEKER CHARIOT,14,6,5,12,7,5,4
BE’LAKOR,12,10,4,18,6,5,4
SOUL GRINDER,8,11,3,14,7,5,4
DAEMON PRINCE OF CHAOS,8,10,2,10,6,3,4
DAEMON PRINCE OF CHAOS WITH WINGS,12,9,2,10,6,3,4
