Name,M,T,SV,W,LD,OC,ISV
ABADDON THE DESPOILER,5,5,2,9,5,4,4
HAARKEN WORLDCLAIMER,12,4,3,5,6,1,4
HURON BLACKHEART,6,4,3,5,6,1,4
HERETIC ASTARTES DAEMON PRINCE,8,10,2,10,6,3,4
HERETIC ASTARTES DAEMON PRINCE WITH WINGS,12,9,2,10,6,3,4
CYPHER,6,4,3,5,6,1,4
MASTER OF POSSESSION,8,4,3,4,6,1,5
CHAOS LORD,6,4,3,5,6,1,4
CHAOS LORD IN TERMINATOR ARMOUR,5,5,2,6,6,1,4
SORCERER,6,4,3,4,6,1,NaN
SORCERER  IN TERMINATOR ARMOUR,5,5,2,5,6,1,4
LUCIUS THE ETERNAL,6,4,3,5,6,1,4
LORD DISCORDANT ON HELSTALKER,10,9,2,10,6,4,5
WARPSMITH,6,4,2,4,6,1,NaN
EXALTED CHAMPION,6,4,3,4,6,1,NaN
LEGIONARIES,6,4,3,2,6,2,NaN
CULTIST MOB,6,3,6,1,7,1,NaN
CHAOS TERMINATOR SQUAD,5,5,2,3,6,1,4
MASTER OF EXECUTIONS,6,4,3,4,6,1,NaN
POSSESSED,9,6,3,3,6,1,5
CHOSEN,6,4,3,3,6,1,NaN
NOISE MARINES,6,4,3,2,6,1,NaN
VENOMCRAWLER,12,9,3,9,6,3,5
CHAOS BIKERS,12,5,3,3,6,2,NaN
RAPTORS,12,4,3,2,6,1,NaN
WARP TALONS,12,4,3,2,6,1,5
HAVOCS,5,5,3,2,6,1,NaN
OBLITERATORS,4,7,2,5,6,2,5
CHAOS LAND RAIDER,10,12,2,16,6,5,NaN
CHAOS PREDATOR ANNIHILATOR,10,10,3,11,6,4,NaN
CHAOS PREDATOR DESTRUCTOR,10,10,3,11,6,4,NaN
CHAOS VINDICATOR,9,11,2,11,6,3,NaN
DEFILER,8,10,3,14,6,5,5
FORGEFIEND,8,10,3,12,6,3,5
HELBRUTE,6,9,2,8,6,3,NaN
MAULERFIEND,10,10,3,12,6,3,5
CHAOS RHINO,12,9,3,10,6,2,NaN
CHAOS SPAWN,8,5,4,4,7,1,NaN
KHORNE LORD OF SKULLS,8,13,3,24,6,8,5
NOCTILITH CROWN,0,11,3,14,6,0,NaN
VASHTORR THE ARKIFANE,12,9,2,14,6,3,4
TRAITOR GUARDSMEN SQUAD,6,3,5,1,7,2,NaN
FELLGOR BEASTMEN,6,4,5,1,7,1,NaN
