Name,M,T,SV,W,LD,OC,ISV
ABERRANTS,6,6,5,3,7,1,NaN
ABOMINANT,6,6,5,5,7,1,NaN
ACHILLES RIDGERUNNERS,12,7,3,8,7,3,NaN
ACOLYTE HYBRIDS,6,4,5,1,7,2,NaN
ACOLYTE ICONWARD,6,4,5,3,6,1,NaN
BIOPHAGUS,6,3,5,3,7,1,NaN
CLAMAVUS,6,3,5,3,6,1,NaN
GOLIATH ROCKGRINDER,12,10,3,10,7,3,NaN
GOLIATH TRUCK,12,9,3,10,7,2,NaN
HYBRID METAMORPHS,6,4,5,1,7,1,NaN
JACKAL ALPHUS,12,4,5,4,7,1,NaN
KELERMORPH,6,3,5,3,7,1,5
LOCUS,6,4,5,3,7,1,4
MAGUS,6,3,5,4,6,1,NaN
NEOPHYTE HYBRIDS,6,3,5,1,7,2,NaN
NEXOS,6,3,5,3,7,1,NaN
PATRIARCH,8,5,4,6,6,1,4
PRIMUS,6,3,5,4,6,1,5
PURESTRAIN GENESTEALERS,8,4,5,2,7,1,5
REDUCTUS SABOTEUR,6,3,5,3,7,1,NaN
SANCTUS,6,3,5,3,7,1,5
