Name,M,T,SV,W,LD,OC,ISV
IMOTEKH THE STORMLORD,5,5,2,5,6,1,4
ORIKAN THE DIVINER,5,4,4,4,6,1,4
ANRAKYR THE TRAVELLER,5,5,2,6,6,1,4
VARGARD OBYRON,5,5,2,5,6,1,NaN
ILLUMINOR SZERAS,7,8,2,9,6,3,4
NEMESOR ZAHNDREKH,5,5,2,6,7,1,4
TRAZYN THE INFINITE,5,5,2,6,6,1,4
ROYAL WARDEN,5,5,3,4,6,1,NaN
SKORPEKH LORD,7,7,3,6,6,2,4
LOKHUST LORD,7,6,3,6,6,2,4
LORD,5,5,3,4,6,1,NaN
CATACOMB COMMAND BARGE,9,8,3,9,6,3,4
OVERLORD,5,5,2,6,6,1,4
TECHNOMANCER,5,4,4,4,6,1,NaN
PSYCHOMANCER,5,4,4,4,6,1,NaN
CHRONOMANCER,5,4,4,4,6,1,4
PLASMANCER,5,4,4,4,6,1,NaN
NECRON WARRIORS,5,4,4,1,7,2,NaN
IMMORTALS,5,5,3,1,7,2,NaN
CANOPTEK REANIMATOR,7,6,3,6,7,3,NaN
HEXMARK DESTROYER,7,5,3,5,6,1,NaN
LYCHGUARD,5,5,3,2,7,1,NaN
DEATHMARKS,5,5,3,1,7,1,NaN
FLAYED ONES,5,4,4,1,7,1,NaN
CRYPTOTHRALLS,5,4,3,2,8,1,NaN
SKORPEKH DESTROYERS,7,6,3,3,7,2,NaN
TRIARCH STALKER,9,8,3,12,7,4,4
C’TAN SHARD OF THE DECEIVER,7,11,4,12,6,6,4
C’TAN SHARD OF THE NIGHTBRINGER,7,11,4,12,6,4,4
C’TAN SHARD OF THE VOID DRAGON,7,11,4,12,6,4,4
TRANSCENDENT C’TAN,7,11,4,12,6,4,4
CANOPTEK SPYDERS,5,7,3,6,8,2,NaN
CANOPTEK SCARAB SWARMS,9,2,6,4,8,0,NaN
OPHYDIAN DESTROYERS,9,5,4,3,7,2,NaN
TOMB BLADES,12,5,4,2,7,2,NaN
TRIARCH PRAETORIANS,9,5,3,2,7,1,NaN
CANOPTEK WRAITHS,9,6,3,3,8,2,4
ANNIHILATION BARGE,9,8,3,9,7,3,4
DOOMSDAY ARK,9,9,3,14,6,5,4
LOKHUST DESTROYERS,7,6,3,3,7,2,NaN
LOKHUST HEAVY DESTROYERS,7,6,3,4,7,2,NaN
CANOPTEK DOOMSTALKER,7,8,3,12,8,4,4
GHOST ARK,10,9,3,14,7,3,4
OBELISK,7,14,2,22,7,8,NaN
TESSERACT VAULT,7,12,2,24,7,8,4
MONOLITH,7,14,2,20,7,8,NaN
THE SILENT KING,7,10,2,16,5,6,4
CONVERGENCE OF DOMINION,11,2,10,7,0,3,NaN
