Name,M,T,SV,W,LD,OC,ISV
BATTLEWAGON,10,10,3,16,7,5,6
BEAST SNAGGA BOYZ,6,5,5,1,7,2,NaN
BEASTBOSS,6,5,4,5,6,1,5
BEASTBOSS ON SQUIGOSAUR,10,10,3,9,6,3,5
BIG MEK IN MEGA ARMOUR,5,6,2,5,7,1,NaN
BIG MEK WITH KUSTOM FORCE FIELD,6,5,4,4,7,1,NaN
BIG MEK WITH SHOKK ATTACK GUN,6,5,4,5,7,1,NaN
BIG’ED BOSSBUNKA,0,10,3,12,7,0,NaN
BLITZA-BOMMER,12,7,4,9,7,3,6
BOOMDAKKA SNAZZWAGON,6,5,5,6,6,1,5
BOSS SNIKROT,12,5,4,6,6,1,5
BOSS ZAGSTRUK,6,5,5,1,7,2,NaN
BOYZ,6,5,5,1,7,1,NaN
BURNA BOYZ,8,9,2,8,7,3,6
BURNA-BOMMER,12,6,4,9,6,3,5
DAKKAJET,12,6,4,4,7,2,6
DEFF DREAD,6,5,4,2,7,1,NaN
DEFFKILLA WARTRIKE,5,6,2,10,6,4,4
DEFFKOPTAS,8,12,3,20,7,8,6
FLASH GITZ,6,2,7,1,8,2,NaN
GHAZGHKULL THRAKA,10,10,3,16,7,5,NaN
GORKANAUT,6,5,3,6,7,1,4
GRETCHIN,10,10,3,16,7,5,NaN
RUNTHERD,6,5,5,2,7,1,NaN
HUNTA RIG,6,6,3,5,8,2,6
KAPTIN BADRUKK,6,5,5,1,7,1,NaN
KILL RIG,12,7,4,9,7,3,6
KILLA KANS,6,6,3,5,8,2,6
KOMMANDOS,6,5,5,1,7,1,NaN
BOSS NOB,6,5,5,2,7,1,NaN
KUSTOM BOOSTA-BLASTA,12,7,4,9,7,3,6
LOOTAS,6,5,5,1,7,1,NaN
MAD DOK GROTSNIK,6,5,5,4,7,1,5
MEGANOBZ,5,6,2,3,7,1,NaN
MEGATRAKK SCRAPJET,12,7,4,9,7,3,6
MEK,6,5,5,4,7,1,NaN
MEK GUNZ,3,5,5,6,8,2,6
MORKANAUT,8,12,3,20,7,8,5
MOZROG SKRAGBAD,10,10,3,9,6,3,4
NOB ON SMASHA SQUIG,10,7,4,5,7,2,NaN
NOB WITH WAAAGH! BANNER,6,5,4,3,7,1,NaN
NOBZ,6,5,4,2,7,1,NaN
PAINBOSS,6,5,4,4,7,1,NaN
PAINBOY,6,5,5,3,7,1,NaN
RUKKATRUKK SQUIGBUGGY,12,7,4,9,7,3,6
SHOKKJUMP DRAGSTA,12,7,4,9,7,3,6
SQUIGHOG BOYZ,10,7,4,3,7,2,NaN
STOMPA,10,14,2,30,6,12,6
STORMBOYZ,12,5,5,1,7,1,NaN
TANKBUSTAS,6,5,5,1,7,1,NaN
TRUKK,12,8,4,10,7,2,6
WARBIKERS,12,6,4,3,7,2,6
WARBOSS,6,5,4,6,6,1,5
WARBOSS IN MEGA ARMOUR,5,6,2,7,6,1,5
WEIRDBOY,6,5,5,4,7,1,NaN
WURRBOY,6,5,5,4,7,1,NaN
ZODGROD WORTSNAGGA,6,5,5,5,7,1,NaN
MEKBOY WORKSHOP,0,9,4,10,7,0,NaN
