Name,M,T,SV,W,LD,OC,ISV
PRIMARIS CAPTAIN,6,4,3,5,6,1,4
CAPTAIN IN GRAVIS ARMOUR,6,6,3,6,6,1,4
CAPTAIN IN PHOBOS ARMOUR,6,4,3,5,6,1,4
CAPTAIN IN TERMINATOR ARMOUR,5,5,2,6,6,1,4
CAPTAIN,6,4,3,5,6,1,4
CAPTAIN WITH JUMP PACK,12,4,3,5,6,1,4
CAPTAIN ON BIKE,12,5,3,6,6,2,4
PRIMARIS LIEUTENANT,6,4,3,4,6,1,NaN
LIEUTENANT IN REIVER ARMOUR,6,4,3,4,6,1,NaN
LIEUTENANT IN PHOBOS ARMOUR,6,4,3,4,6,1,NaN
LIEUTENANT,6,4,3,4,6,1,NaN
PRIMARIS LIBRARIAN,6,4,3,4,6,1,NaN
LIBRARIAN  IN PHOBOS ARMOUR,6,4,3,4,6,1,NaN
LIBRARIAN IN TERMINATOR ARMOUR,5,5,2,5,6,1,4
LIBRARIAN,6,4,3,4,6,1,NaN
PRIMARIS CHAPLAIN,6,4,3,4,5,1,4
CHAPLAIN IN TERMINATOR ARMOUR,5,5,2,5,5,1,4
CHAPLAIN ON BIKE,12,5,3,5,5,1,4
CHAPLAIN,6,4,3,4,5,1,4
CHAPLAIN WITH JUMP PACK,12,4,3,4,6,1,4
PRIMARIS TECHMARINE,6,4,2,4,6,1,NaN
TECHMARINE,6,4,2,3,6,1,NaN
ASTARTES SERVITORS,6,4,4,1,8,0,6
INTERCESSOR SQUAD,6,4,3,2,6,2,NaN
INFERNUS SQUAD,6,4,3,2,6,1,NaN
ASSAULT INTERCESSOR SQUAD,6,4,3,2,6,2,NaN
LIBRARIAN WITH JUMP PACK,12,4,3,4,6,1,NaN
LIEUTENANT WITH COMBI-WEAPON,6,4,3,4,6,1,NaN
HEAVY INTERCESSOR SQUAD,5,6,3,3,6,2,NaN
INFILTRATOR SQUAD,6,4,3,2,6,1,NaN
INCURSOR SQUAD,6,4,3,2,6,1,NaN
TACTICAL SQUAD,6,4,3,2,6,2,NaN
SCOUT SQUAD,6,4,4,2,6,1,NaN
SCOUT SNIPER SQUAD,6,4,4,2,6,1,NaN
PRIMARIS COMPANY CHAMPION,6,4,3,4,6,1,NaN
PRIMARIS APOTHECARY,6,4,3,4,6,1,NaN
APOTHECARY BIOLOGIS,5,6,3,5,6,3,NaN
PRIMARIS ANCIENT,6,4,3,4,6,1,NaN
BLADEGUARD ANCIENT,6,4,3,4,6,1,4
ANCIENT  IN TERMINATOR ARMOUR,5,5,2,5,6,1,4
BLADEGUARD VETERAN SQUAD,6,4,3,3,6,1,4
COMMAND SQUAD,6,4,3,3,6,1,NaN
VANGUARD VETERAN SQUAD,6,4,3,2,6,1,NaN
VANGUARD VETERAN SQUAD  WITH JUMP PACKS,12,4,3,2,6,1,NaN
STERNGUARD VETERAN SQUAD,6,4,3,2,6,1,NaN
JUDICIAR,6,4,3,4,5,1,4
REIVER SQUAD,6,4,3,2,6,1,NaN
AGGRESSOR SQUAD,5,6,3,3,6,1,NaN
TERMINATOR ASSAULT SQUAD,5,5,2,3,6,1,4
TERMINATOR SQUAD,5,5,2,3,6,1,4
RELIC TERMINATOR SQUAD,5,5,2,3,6,1,4
CENTURION ASSAULT SQUAD,4,7,2,4,6,2,NaN
