Name,M,T,SV,W,LD,OC,ISV
LOGAN GRIMNAR,5,5,2,6,6,1,4
RANGED WEAPONS RANGE A BS S AP D,5,5,2,5,6,1,4
BJORN THE FELL-HANDED,8,9,2,8,6,3,NaN
ARJAC ROCKFIST,5,5,2,6,6,1,4
ULRIK THE SLAYER,6,4,3,4,5,1,4
RAGNAR BLACKMANE,6,4,3,5,6,1,4
KROM DRAGONGAZE,6,4,3,4,6,1,4
HARALD DEATHWOLF,10,6,3,7,6,2,4
CANIS WOLFBORN,10,6,3,6,6,2,NaN
WOLF GUARD BATTLE LEADER IN TERMINATOR ARMOUR,5,5,2,5,6,1,4
WOLF LORD  ON THUNDERWOLF,10,6,3,6,6,2,4
WOLF GUARD BATTLE LEADER ON THUNDERWOLF,10,6,3,5,6,2,NaN
BLOOD CLAWS,6,4,3,2,6,2,NaN
GREY HUNTERS,6,4,3,2,6,2,NaN
WOLF GUARD,6,4,3,2,5,1,NaN
LUKAS THE TRICKSTER,6,4,3,4,6,1,NaN
WOLF GUARD TERMINATORS,5,5,2,3,6,1,4
HOUNDS OF MORKAI,6,4,3,2,6,1,4
WULFEN,8,5,4,2,6,0,NaN
WULFEN DREADNOUGHT,8,9,2,8,6,0,NaN
MURDERFANG,8,9,2,8,6,0,NaN
THUNDERWOLF CAVALRY,10,6,3,4,6,2,NaN
FENRISIAN WOLVES,10,4,6,1,8,0,NaN
SK YCLAWS,12,4,3,2,6,1,NaN
LONG FANGS,6,4,3,2,6,1,NaN
WOLF GUARD PACK LEADER,6,4,3,2,6,1,NaN
WOLF GUARD PACK LEADER WITH JUMP PACK,12,4,3,2,6,1,NaN
WOLF GUARD PACK LEADER IN TERMINATOR ARMOUR,5,5,2,3,6,1,4
IRON PRIEST,6,4,2,4,6,1,NaN
CYBERWOLF,10,4,6,2,7,0,6
WOLF SCOUTS,6,4,4,2,6,1,NaN
SPACE WOLVES VENERABLE DREADNOUGHT,6,9,2,8,6,3,NaN
