Name,M,T,SV,W,LD,OC,ISV
COMMANDER SHADOWSUN,10,4,3,6,6,1,5
COMMANDER FARSIGHT,10,5,3,6,6,2,4
COMMANDER IN CRISIS BATTLESUIT,10,5,3,5,7,2,NaN
COMMANDER IN ENFORCER BATTLESUIT,8,5,2,6,7,2,NaN
COMMANDER  IN COLDSTAR BATTLESUIT,12,5,3,6,7,2,NaN
CADRE FIREBLADE,6,3,4,3,7,1,NaN
KROOT SHAPER,7,3,6,3,7,1,NaN
ETHEREAL,6,3,5,3,6,1,5
AUN’VA,6,3,5,5,7,1,4
AUN’SHI,6,3,6,3,7,1,5
DARKSTRIDER,7,3,4,3,7,1,NaN
LONGSTRIKE,10,10,3,14,7,3,NaN
STRIKE TEAM,6,3,4,1,7,2,NaN
BREACHER TEAM,6,3,4,1,7,2,NaN
KROOT CARNIVORES,7,3,6,1,7,1,NaN
KROOTOX RIDERS,7,5,6,4,7,2,NaN
CRISIS BATTLESUITS,10,5,3,4,7,2,NaN
STEALTH BATTLESUITS,8,4,3,2,7,1,NaN
GHOSTKEEL BATTLESUIT,10,8,2,12,7,3,NaN
FIRESIGHT TEAM,6,3,4,4,7,3,NaN
PATHFINDER TEAM,7,3,4,1,7,1,NaN
PIRANHA,14,7,4,7,7,2,NaN
VESPID STINGWINGS,12,4,4,1,7,1,NaN
KROOT HOUNDS,12,3,6,1,8,0,NaN
BROADSIDE BATTLESUITS,5,6,2,8,7,2,NaN
RIPTIDE BATTLESUIT,10,9,2,14,7,4,4
HAMMERHEAD GUNSHIP,10,10,3,14,7,3,NaN
SKY RAY GUNSHIP,10,10,3,14,7,3,NaN
DEVILFISH,12,9,3,13,7,2,NaN
TIDEWALL SHIELDLINE,4,8,3,10,7,0,5
TIDEWALL DRONEPORT,4,8,3,10,7,0,NaN
TIDEWALL GUNRIG,4,8,3,14,7,0,NaN
STORMSURGE,8,11,2,20,7,6,4
TACTICAL DRONES,8,3,4,1,7,0,NaN
KROOT FARSTALKERS,7,3,6,1,7,1,NaN
