Name,M,T,SV,W,LD,OC,ISV
WINGED HIVE TYRANT,12,9,2,10,7,3,4
HIVE TYRANT,8,10,2,10,7,3,4
THE SWARMLORD,8,10,2,10,7,3,4
BROODLORD,8,5,4,6,7,1,4
WINGED TYRANID PRIME,12,5,4,6,7,1,NaN
TERVIGON,8,11,2,16,7,5,NaN
OLD ONE EYE,8,9,2,9,8,3,NaN
TYRANID WARRIORS WITH RANGED BIO-WEAPONS,6,5,4,3,7,2,NaN
TYRANID WARRIORS WITH MELEE BIO-WEAPONS,6,5,4,3,7,2,NaN
TERMAGANTS,6,3,5,1,8,2,NaN
HORMAGAUNTS,10,3,5,1,8,2,NaN
GARGOYLES,12,3,6,1,8,2,NaN
TOXICRENE,8,11,3,14,8,4,NaN
TYRANT GUARD,6,8,3,4,8,1,NaN
NEUROTYRANT,6,8,4,9,7,3,4
LICTOR,8,6,4,6,7,1,5
DEATHLEAPER,8,6,4,7,7,1,4
MALECEPTOR,8,11,3,14,7,4,4
PYROVORES,5,6,3,4,8,1,NaN
HARUSPEX,8,11,3,14,8,4,NaN
VENOMTHROPES,6,5,4,3,8,1,NaN
VON RYAN’S LEAPERS,10,5,4,3,8,1,6
NEUROGAUNTS,6,3,6,1,8,1,NaN
ZOANTHROPES,5,5,5,3,7,1,4
GENESTEALERS,8,4,5,2,7,1,5
RAVENERS,10,5,4,3,8,1,NaN
RIPPER SWARMS,6,2,6,4,8,0,NaN
PARASITE OF MORTREX,12,5,4,5,8,1,NaN
MAWLOC,10,10,3,14,8,4,NaN
TRYGON,10,10,3,14,8,4,NaN
MUCOLID SPORES,4,4,7,3,8,0,NaN
SPORE MINES,4,1,7,1,8,0,NaN
EXOCRINE,8,10,3,14,8,4,NaN
BIOVORES,5,6,4,4,8,1,NaN
CARNIFEXES,8,9,2,8,8,3,NaN
SCREAMER-KILLER,8,9,2,10,8,3,NaN
HIVE GUARD,6,7,3,4,8,1,NaN
TYRANNOFEX,9,12,2,16,8,5,NaN
TYRANNOCYTE,8,9,3,10,8,2,NaN
SPOROCYST,10,3,10,8,0,1,NaN
PSYCHOPHAGE,8,9,3,10,8,3,NaN
BARBGAUNTS,6,4,4,2,8,1,NaN
